LA	90027	14	$1,150	23.7%	4	$567	19.9%	$708
LA	90029	1	$555	48.8%	2	$550	n/a	$373
LA	90034	17	$780	-1.3%	6	$296	-32.7%	$592
LA	90035	7	$1,580	21.5%	6	$558	-30.9%	$735
LA	90036	13	$1,275	23.8%	5	$530	66.7%	$716
LA	90037	5	$303	22.7%	n/a	n/a	n/a	$185
LA	90039	11	$681	5.6%	n/a	n/a	n/a	$548
LA	90047	27	$303	12.5%	n/a	n/a	n/a	$240
LA	90057	1	$420	n/a	4	$270	16.2%	$322
LA	90062	13	$290	15.9%	n/a	n/a	n/a	$245
LA	90063	12	$305	10.5%	n/a	n/a	n/a	$290
La Canada F	91011	28	$1,298	8.7%	1	$475	n/a	$576
La Crescnta	91214	45	$680	5.8%	6	$509	141.0%	$455
La Mirada	90638	29	$462	8.6%	12	$381	-8.1%	$303
La Puente	91744	41	$347	4.7%	3	$300	11.1%	$289
La Puente	91746	9	$384	25.7%	n/a	n/a	n/a	$252
La Verne	91750	15	$595	29.3%	6	$301	-30.7%	$342
LA/AugFHw	90044	37	$228	8.3%	1	$195	n/a	$243
LA/AugFHw	90059	20	$231	15.3%	1	$280	n/a	$191
LA/AugFHw	90061	7	$250	0.0%	n/a	n/a	n/a	$256
LA/Bldwn H	90008	12	$555	9.4%	2	$334	22.3%	$324
LA/Bel-Air	90077	11	$1,906	0.3%	n/a	n/a	n/a	$757
LA/Boyle Ht	90033	7	$210	10.1%	n/a	n/a	n/a	$210
LA/Brentwd	90049	19	$1,875	-23.5%	26	$731	-14.2%	$743
LA/Centry C	90067	n/a	n/a	n/a	9	$1,033	11.6%	n/a
LA/CyofCom	90040	3	$235	-16.7%	n/a	n/a	n/a	$157
LA/Dockwlr	90007	5	$331	32.2%	1	$251	n/a	$244
LA/Eagle Rk	90041	13	$603	8.6%	n/a	n/a	n/a	$492
LA/East LA	90022	6	$358	5.5%	n/a	n/a	n/a	$260
LA/Echo Pk	90026	14	$620	-5.6%	3	$592	15.0%	$578
LA/ElSereno	90032	15	$373	11.3%	1	$275	-0.7%	$338
LA/Firstn Pk	90001	13	$232	-1.7%	n/a	n/a	n/a	$213
LA/Glassell	90065	25	$599	10.5%	2	$192	n/a	$499
LA/Highld P	90042	25	$493	2.2%	7	$343	8.9%	$480
LA/Hollywd	90028	4	$801	1.5%	5	$635	10.3%	$508
LA/Hollywd	90068	15	$1,050	10.6%	7	$489	25.4%	$503
LA/Ladera H	90056	5	$945	20.8%	n/a	n/a	n/a	$361
LA/Lincln H	90031	13	$505	33.2%	1	$360	37.9%	$386
LA/Mar Vsta	90066	25	$950	6.4%	6	$554	13.9%	$672
LA/Rncho P	90064	24	$1,081	-10.1%	7	$732	11.3%	$712
LA/Sanford	90005	5	$1,300	52.0%	11	$580	26.9%	$602
LA/VPk/WH	90043	33	$365	12.3%	n/a	n/a	n/a	$273
LA/Watts	90002	20	$241	14.8%	n/a	n/a	n/a	$207
LA/West LA	90025	7	$1,200	35.2%	30	$631	-4.4%	$723
LA/Westchtr	90045	37	$793	-1.4%	3	$386	-0.9%	$557
LA/Westwd	90024	13	$2,058	25.4%	20	$656	8.7%	$891
Lake Hughes	93532	5	$157	-34.0%	n/a	n/a	n/a	$125
Lakewood	90712	27	$449	8.2%	n/a	n/a	n/a	$360
Lakewood	90713	32	$490	10.1%	n/a	n/a	n/a	$342
Lakewood	90715	13	$418	23.2%	3	$324	8.0%	$335
Lancaster	93534	34	$149	13.3%	5	$92	10.8%	$111
Lancaster	93535	93	$156	9.1%	4	$80	-15.5%	$97
Lancaster	93536	86	$240	2.1%	4	$105	-12.7%	$124
Lawndale	90260	4	$383	3.5%	1	$330	16.8%	$426
Littlerock	93543	14	$160	3.9%	n/a	n/a	n/a	$138
Llano	93544	2	$320	92.2%	n/a	n/a	n/a	$134
Lomita	90717	9	$560	-4.7%	5	$370	20.5%	$319
Long Beach	90802	2	$789	n/a	44	$252	22.7%	$428
Long Beach	90803	19	$835	9.2%	18	$519	28.9%	$570
Long Beach	90804	13	$370	8.8%	11	$250	36.6%	$357
Long Beach	90805	46	$339	9.2%	1	$135	-13.3%	$305
Long Beach	90806	14	$400	15.9%	2	$243	-27.1%	$305
Long Beach	90807	28	$459	-13.3%	16	$327	72.0%	$342
Long Beach	90808	43	$549	7.6%	n/a	n/a	n/a	$380
Long Beach	90810	10	$346	8.1%	1	$165	33.1%	$321
Long Beach	90813	8	$315	57.5%	5	$240	1.9%	$284
Long Beach	90814	7	$660	6.0%	10	$329	-4.6%	$348
Long Beach	90815	21	$635	15.7%	11	$315	-8.7%	$422
Los Angeles	90021	n/a	n/a	n/a	4	$757	-20.2%	n/a
Los Angeles	90058	1	$172	14.7%	n/a	n/a	n/a	$203
Lynwood	90262	17	$300	17.6%	n/a	n/a	n/a	$245
Malibu	90265	14	$1,885	-14.3%	7	$840	25.3%	$765
Manhattan B	90266	34	$1,663	-12.2%	12	$1,653	15.4%	$893
Marina del R	90292	1	$2,350	88.0%	23	$794	19.9%	$604
Maywood	90270	3	$286	12.2%	n/a	n/a	n/a	$284
Mission Hills	91345	11	$399	27.3%	n/a	n/a	n/a	$272
Monrovia	91016	26	$652	8.8%	4	$442	-3.2%	$405
Montebello	90640	14	$421	18.5%	7	$228	-17.1%	$278
Monterey Pk	91754	19	$500	0.2%	5	$432	20.0%	$381
Monterey Pk	91755	7	$535	10.8%	8	$429	0.2%	$374
Montrose	91020	2	$326	-40.0%	2	$501	17.8%	$447
Newhall	91321	21	$445	9.9%	20	$270	23.9%	$273
North Hills	91343	25	$498	11.3%	14	$253	11.0%	$284
N Hollywd	91601	14	$596	31.2%	4	$349	-8.2%	$422
N Hollywd	91602	10	$1,025	9.4%	9	$510	34.2%	$476
N Hollywd	91605	18	$395	-0.6%	6	$315	31.3%	$293
N Hollywd	91606	9	$410	1.1%	1	$295	-6.3%	$325
Northridge	91324	17	$475	-4.8%	2	$365	12.3%	$289
Northridge	91325	24	$510	-12.1%	4	$330	-7.2%	$327
Northridge	91326	17	$665	10.4%	22	$583	22.0%	$277
Norwalk	90650	61	$370	10.4%	10	$246	7.0%	$293
P Palisades	90272	28	$2,253	-6.9%	13	$833	6.1%	$948
Pacoima	91331	30	$335	8.1%	6	$246	46.6%	$290
Palmdale	93550	57	$174	16.0%	9	$152	60.0%	$117
Palmdale	93551	71	$280	12.4%	1	n/a	n/a	$131
Palmdale	93552	39	$219	22.7%	n/a	n/a	n/a	$117
Palmdale	93591	16	$104	11.3%	n/a	n/a	n/a	$85
Palos V Pen	90274	30	$1,600	-5.6%	9	$910	27.7%	$644
Panorama C	91402	11	$364	15.4%	15	$245	63.3%	$293
Paramount	90723	11	$325	12.3%	4	$216	32.6%	$259
Pasadena	91101	n/a	n/a	n/a	14	$415	-9.8%	n/a
Pasadena	91103	16	$589	18.4%	6	$505	12.0%	$375
Pasadena	91104	23	$652	-5.0%	2	$460	10.7%	$466
Pasadena	91105	16	$1,700	65.9%	7	$710	-6.2%	$645
Pasadena	91106	7	$1,980	56.7%	25	$536	13.1%	$644
Pasadena	91107	38	$775	4.3%	9	$328	-17.0%	$538
Pearblossom	93553	1	$60	n/a	n/a	n/a	n/a	$70
Pico Rivera	90660	27	$355	9.2%	n/a	n/a	n/a	$342
Playa dl Rey	90293	2	$1,287	36.2%	11	$506	25.2%	$797
Playa Vista	90094	n/a	n/a	n/a	16	$797	15.1%	n/a
Pomona	91766	29	$323	2.4%	9	$325	37.7%	$269
Pomona	91767	26	$322	9.2%	10	$340	4.6%	$215
Pomona	91768	13	$270	3.8%	4	$379	68.4%	$215
Rancho PV	90275	40	$1,105	-3.3%	6	$730	27.2%	$503
Redondo Bh	90277	22	$1,059	7.0%	29	$690	-12.1%	$605
Redondo Bh	90278	16	$841	13.2%	25	$700	-1.1%	$567
Reseda	91335	35	$421	1.3%	10	$263	-4.5%	$314
Rosemead	91770	12	$445	8.5%	3	$420	23.0%	$343
Rowland Hts	91748	22	$513	-9.8%	2	$270	-8.5%	$337
San Dimas	91773	23	$553	26.0%	9	$350	16.7%	$317
Sn Fernando	91340	11	$340	9.3%	2	$200	-18.2%	$337
San Gabriel	91775	14	$743	7.7%	1	n/a	n/a	$484
San Gabriel	91776	18	$583	1.3%	4	$381	-4.0%	$477
San Marino	91108	20	$1,854	22.0%	n/a	n/a	n/a	$822
San Pedro	90731	14	$630	54.7%	6	$300	8.4%	$384
San Pedro	90732	9	$652	0.3%	14	$404	-5.0%	$397
Snta Clarita	91350	30	$455	4.6%	18	$288	-0.3%	$274
Snta Clarita	91390	29	$542	28.9%	3	$337	8.2%	$242
Santa Fe Spr	90670	9	$360	-1.4%	2	$422	33.6%	$336
Snta Monica	90401	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Snta Monica	90402	11	$3,350	-4.1%	2	$1,113	33.1%	$923
Snta Monica	90403	1	$2,087	-2.0%	13	$896	0.1%	$1,503
Snta Monica	90404	1	n/a	n/a	12	$737	-3.3%	n/a
Snta Monica	90405	11	$1,341	-17.8%	10	$788	19.3%	$1,029
Shermn Oks	91403	19	$975	8.5%	5	$399	0.0%	$550
Shermn Oks	91423	18	$885	-5.6%	19	$412	17.6%	$530
Sierra Mdre	91024	19	$867	23.5%	2	$421	-15.7%	$518
Signal Hill	90755	n/a	n/a	n/a	16	$367	-16.1%	n/a
South Gate	90280	19	$320	5.8%	2	$223	-14.9%	$271
S Pasadena	91030	9	$1,100	38.8%	2	$508	18.0%	$675
Stevenson R	91381	19	$779	4.6%	13	$427	22.9%	$243
Studio City	91604	21	$1,222	4.0%	15	$500	-2.3%	$659
Sun Valley	91352	19	$403	10.0%	1	$273	32.9%	$289
Sunland	91040	22	$452	2.8%	3	$325	21.5%	$333
Sylmar	91342	33	$400	14.4%	20	$293	6.4%	$269
Tarzana	91356	17	$1,215	36.2%	27	$315	17.8%	$416
Temple City	91780	27	$688	6.1%	5	$512	-9.9%	$447
Topanga	90290	8	$1,450	67.6%	n/a	n/a	n/a	$607
Torrance	90501	15	$619	30.3%	6	$525	14.4%	$473
Torrance	90502	8	$420	4.3%	7	$249	11.9%	$336
Torrance	90503	17	$735	5.0%	10	$520	-2.5%	$529
Torrance	90504	18	$548	6.2%	1	$499	19.5%	$430
Torrance	90505	27	$742	5.1%	8	$438	36.2%	$503
Tujunga	91042	14	$506	11.3%	4	$291	-6.5%	$331
Valencia	91354	19	$514	10.2%	34	$437	10.9%	$248
Valencia	91355	9	$580	20.8%	26	$348	11.4%	$251
Valley Vlge	91607	15	$818	17.2%	6	$376	6.4%	$423
Van Nuys	91401	19	$680	22.1%	3	$442	33.9%	$377
Van Nuys	91405	13	$415	-2.8%	4	$236	38.2%	$331
V Nuys/LB	91406	17	$480	14.3%	12	$273	11.2%	$342
V Nuys/SO	91411	11	$586	11.5%	5	$320	1.4%	$399
Venice	90291	16	$1,593	32.7%	2	$1,328	-0.9%	$1,171
Walnut	91789	51	$680	8.3%	4	$308	-17.9%	$375
West Covina	91790	22	$448	12.6%	1	$500	22.5%	$288
West Covina	91791	31	$475	8.6%	8	$345	5.2%	$297
West Covina	91792	16	$470	32.0%	7	$275	-6.9%	$283
West Hills	91307	33	$516	-7.6%	3	$610	106.8%	$311
W Hlywd/LA	90038	2	$635	-5.9%	2	$484	-5.7%	$709
W Hlywd/LA	90046	21	$1,450	19.8%	12	$484	-12.1%	$750
W Hlywd/LA	90048	15	$1,375	18.4%	10	$764	10.3%	$823
W Hlywd/LA	90069	14	$1,519	-44.3%	27	$625	19.3%	$838
Whittier	90601	14	$460	3.4%	10	$230	-4.6%	$261
Whittier	90602	10	$381	-13.3%	3	$298	29.6%	$322
Whittier	90603	26	$455	5.8%	3	$257	-42.9%	$317
Whittier	90604	15	$420	14.8%	2	$328	33.7%	$337
Whittier	90605	26	$405	10.2%	n/a	n/a	n/a	$310
Whittier	90606	17	$360	9.4%	n/a	n/a	n/a	$300
Wilmington	90744	10	$332	19.9%	n/a	n/a	n/a	$298
Winnetka	91306	25	$423	1.5%	5	$250	11.1%	$301
Woodlnd Hls	91364	39	$682	1.0%	1	$395	43.6%	$347
Woodlnd Hls	91367	30	$635	-4.2%	19	$370	10.4%	$323
